100,97,파일 다운로드,운영 관리 > 다운로드 관리 > 다운로드 상세 > 파일 다운로드,/downloadMgmt/attachDownload,F,ADMIN,2,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
101,6,이벤트 관리,운영 관리 > 이벤트관리,NULL,M,ADMIN,6,2,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
102,101,이벤트 조회,운영 관리 > 이벤트관리 > 이벤트 조회,/eventMgmt/list,M,ADMIN,1,3,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
104,102,이벤트 상세정보,운영 관리 > 이벤트관리 > 이벤트 상세정보,/eventMgmt/detail,P,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
106,104,파일 다운로드,운영 관리 > 이벤트 관리 > 이벤트 상세 > 파일 다운로드,/eventMgmt/attachDownload,F,ADMIN,2,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
108,20,상담 이력 상세정보,메시지 관리 & 통계 > CS비즈챗 > 상담 이력 조회 > 상담 이력 상세정보,/csMate/consultHistDetail,P,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
109,20,상담 이력 엑셀 다운로드,메시지 관리 & 통계 > CS비즈챗 > 상담 이력 조회 > 엑셀 다운로드,/csMate/downloadExcel/realtime,F,ADMIN,1,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
116,13,알림비즈챗,메시지 관리 & 통계 > 통계 > 알림비즈챗,/stat/ar,M,ADMIN,1,3,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
117,116,고객사 비교 통계,메시지 관리 & 통계 > 통계 > 알림비즈챗 > 고객사 비교 통계,/stat/ar,M,ADMIN,1,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
118,116,고객사별 상세 통계,메시지 관리 & 통계 > 통계 > 알림비즈챗 > 고객사별 상세 통계,/stat/ar/custom,M,ADMIN,2,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
119,117,고객사 비교 통계 상세내역,메시지 관리 & 통계 > 통계 > 알림비즈챗 > 고객사 비교 통계 > 고객사 비교 통계 상세내역,/stat/ar/detail,P,ADMIN,3,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
120,116,고객사 비교 통계 엑셀 리포트 다운로드,메시지 관리 & 통계 > 통계 > 알림비즈챗 > 고객사 비교 통계 > 엑셀 리포트 다운로드,/stat/ar/detail/excel,F,ADMIN,4,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
121,118,고객사별 상세 통계 상세내역,메시지 관리 & 통계 > 통계 > 알림비즈챗 > 고객사별 상세 통계 > 고객사별 상세 통계 상세내역,/stat/ar/custom/detail,P,ADMIN,5,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
122,116,고객사별 상세 통계 엑셀 리포트 다운로드,메시지 관리 & 통계 > 통계 > 알림비즈챗 > 고객사별 상세 통계 > 엑셀 리포트 다운로드,/stat/ar/custom/detail/excel,F,ADMIN,6,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
123,13,상담비즈챗,메시지 관리 & 통계 > 통계 > CS비즈챗,/stat/cs/all,M,ADMIN,2,3,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
124,123,고객사 비교 통계,메시지 관리 & 통계 > 통계 > CS비즈챗 > 고객사 비교 통계,/stat/cs,M,ADMIN,2,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
125,123,고객사별 상세 통계,메시지 관리 & 통계 > 통계 > CS비즈챗 > 고객사별 상세 통계,/stat/cs/custom,M,ADMIN,3,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
126,124,고객사 비교 통계 상세내역,메시지 관리 & 통계 > 통계 > CS비즈챗 > 고객사 비교 통계 > 고객사 비교 통계 상세내역,/stat/cs/detail,P,ADMIN,3,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
127,123,고객사 비교 통계 엑셀 리포트 다운로드,메시지 관리 & 통계 > 통계 > CS비즈챗 > 고객사 비교 통계 > 엑셀 리포트 다운로드,/stat/cs/detail/excel,F,ADMIN,4,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
128,125,고객사별 상세 통계 상세내역,메시지 관리 & 통계 > 통계 > CS비즈챗 > 고객사별 상세 통계 > 고객사별 상세 통계 상세내역,/stat/cs/custom/detail,P,ADMIN,5,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
129,123,고객사별 상세 통계 엑셀 리포트 다운로드,메시지 관리 & 통계 > 통계 > CS비즈챗 > 고객사별 상세 통계 > 엑셀 리포트 다운로드,/stat/cs/custom/detail/excel,F,ADMIN,6,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
130,13,메시지 인사이트,메시지 관리 & 통계 > 통계 > 마케팅비즈챗,/stat/mk,M,ADMIN,3,3,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
131,130,고객사 비교 통계,메시지 관리 & 통계 > 통계 > 마케팅비즈챗 > 고객사 비교 통계,/stat/mk/customs,M,ADMIN,2,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
132,130,고객사별 상세 통계,메시지 관리 & 통계 > 통계 > 마케팅비즈챗 > 고객사별 상세 통계,/stat/mk/custom,M,ADMIN,3,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
133,131,고객사 비교 통계 상세내역,메시지 관리 & 통계 > 통계 > 마케팅비즈챗 > 고객사 비교 통계 > 고객사 비교 통계 상세내역,/stat/mk/customs/detail,P,ADMIN,3,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
134,130,고객사 비교 통계 엑셀 리포트 다운로드,메시지 관리 & 통계 > 통계 > 마케팅비즈챗 > 고객사 비교 통계 > 엑셀 리포트 다운로드,/stat/mk/customs/detail/excel,F,ADMIN,4,4,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
135,132,고객사별 상세 통계 상세내역,메시지 관리 & 통계 > 통계 > 마케팅비즈챗 > 고객사별 상세 통계 > 고객사별 상세 통계 상세내역,/stat/mk/custom/detail,P,ADMIN,5,5,Y,NULL,2017-08-14 18:01:34,INIT,INIT,2017-08-14 18:01:34,INIT,INIT
